Group_Detector,Right Ascension (Ra),Declination (Dec),Time Delay (t),Luminosity Distance (Dist),Polarization Angle (Pol),Mass (M),Inclination Angle (iota),Mass Ratio (eta),Initial Phase (phi)
group_0_ET_1,221.3956536294144,11.024793060696954,0.002840554180797366,5.847321444134529,129.86070639594618,0.0011505662819270685,63.23128790724887,0.0011221554954873535,61.54349048100849
group_0_ET_2,253.51613708569892,12.62150636122816,0.0032135969630516883,12.046802921630805,169.7307292426382,0.001278777823579314,60.397180887323096,0.0012477858787944029,83.98233845599923
group_0_ET_3,2236.3159542309427,111.4816324504119,0.022370666908857337,146.9329772098653,1238.4255420768104,0.010939137994974818,7.110486314289913,0.010674412750731565,120.14179629092558
group_1_ET_1,301.65753811368074,296.5062009826902,0.048410822837325354,182.92385580650108,583.0323810843566,0.007188780901663686,35.9298332379157,0.006996188147500489,478.53465940941805
group_1_ET_2,102.55021118744324,100.80411807572771,0.016406729891491275,33.725756178852215,182.24424227358674,0.002432123257272456,239.90962913190097,0.002367063398490074,185.60886531494882
group_1_ET_3,104.95525165170837,103.37618421391504,0.01996700343231699,35.381786587851444,24.779881774754543,0.002832164433443296,181.57923504344274,0.002753392060768146,347.7616955715989
group_2_ET_1,4.38860225771939,22.13815981551626,0.004748844857608136,810.9141940632258,801.9773459290992,0.0011740817958550425,595.1542853165313,0.0011389615310257288,1368.3368494891663
group_2_ET_2,5.174926698907809,25.262928390826538,0.0011686764849141021,311.21555114531196,536.3458679192099,0.0006894534641695111,1190.921124481369,0.000669962261845603,835.2073090278918
group_2_ET_3,2.502360768807603,12.157335768840888,0.0010421854218984111,329.8723412895985,708.6167943704241,0.0007735978481109337,92.74529312687172,0.0007522846879982816,1430.9997624411162
group_3_ET_1,1420.9279796449316,1770.9298818139391,0.0395007649552416,1028.2848968412475,1922.9088285868957,0.005742282479922361,112.58528509175197,0.0055845295652458575,277.4453797626448
group_3_ET_2,648.7052195839544,808.5096205483252,0.017793212563852814,80.82415121411836,838.4887715537335,0.0025963696044677483,16.272982901828517,0.002525138880343353,107.83073327023426
group_3_ET_3,1142.0897881862365,1423.46540766042,0.03089631606779563,156.99943511952497,2395.5023164529002,0.004525567335190329,55.999965000628805,0.004401594015137615,147.38378721123698
group_4_ET_1,52.80000338808587,5.564657247241418,0.012679342065852557,64.81896715262963,141.04948048038167,0.001782361211718448,99.44557958071954,0.0017316712586677582,419.0431902296789
group_4_ET_2,72.71822726197614,7.488298955567468,0.012584663658087518,37.83300139075815,214.11039540693335,0.001907673652182794,34.517943779883005,0.0018570871276258744,245.1020674607369
group_4_ET_3,57.96389133028856,6.092779915205324,0.013518574658699796,34.262971132852414,120.45843746263233,0.0019006888671795447,90.07164380534786,0.0018468700211089477,394.94064388638753
group_5_ET_1,245.97667046411615,146.38644983598405,0.03752923225488861,29.25249716226854,380.0126440769561,0.005720788331760495,2.6619649985727154,0.005565152274550211,62.23147738829027
group_5_ET_2,166.04011511729638,98.82160779316172,0.024973399952579006,52.707069583461006,318.2735259740652,0.0037905152128009855,15.787824424720222,0.0036883736285544485,176.70254829706866
group_5_ET_3,110.54546278459891,65.78826227702511,0.016792029410655038,3.873466329015912,222.71120625232282,0.002547185630362282,82.4616324658107,0.0024782237959555995,48.97588680937778
group_6_ET_1,33.7317149001847,30.54701776160621,0.004769622390915399,8.09258810943833,809.0489158572718,0.0009639842954155648,20.46678958632602,0.0009355222647270566,1524.5903297057773
group_6_ET_2,39.491179712770744,35.68925082070403,0.0024061188949537045,149.9242775601018,757.7477127607693,0.0006940753435361725,361.040371439247,0.0006761383951502241,1375.3218029035274
group_6_ET_3,148.68969752455823,134.30807591017953,0.002497163580927191,53.13208351946824,1078.3607160349636,0.0011703956739763305,118.51951669844462,0.0011471680309999297,1613.1623468415905
group_7_ET_1,348.73804453899805,311.22241622903016,0.01296175809126699,1121.0048410878812,650.050407020593,0.0038133910809617705,1581.2205005061307,0.0037242193833485556,2269.275433580758
group_7_ET_2,285.3101245038624,254.95077198061432,0.023265812559118193,1635.4444561251837,991.3800286318543,0.005730836885205693,1986.9229820761202,0.005567498234879724,3160.350749046211
group_7_ET_3,46.950654918893726,42.03057154349266,0.008338557135636008,328.73254869279066,637.1314086247025,0.0018435351826984136,937.6539172855909,0.0017879042766300718,1817.8269865522607
group_8_ET_1,87.47473720257129,167.8253536582067,0.016369076960611854,100.70586399804024,897.0737559335142,0.0015650791930023344,32.93680690147055,0.0015163307504672792,1054.9544157878886
group_8_ET_2,221.64665808202002,420.58960857382607,0.013368300751796595,192.56949615950896,143.37081177142355,0.001204132351328666,739.8900926733525,0.0011715557562178636,1422.9334958144063
group_8_ET_3,389.7902875763355,740.887236520352,0.017661578734283798,1544.4911862119418,778.6921727949345,0.0019110263367727801,1662.5628141997968,0.0018627457591620584,1402.8296678853444
group_9_ET_1,167.05958365824821,37.83961759515366,0.010808638296966124,242.12294971214368,484.25453154891903,0.002837359384901703,326.76925247774284,0.002770092587153506,1476.2353772456277
group_9_ET_2,218.1397796126965,49.39570619541442,0.011740236798186547,81.42165191061217,255.1081498475893,0.003917309094498393,17.337765983856254,0.0038217716687705653,1063.973333584337
group_9_ET_3,120.85826575882147,27.372020148552927,0.007317112977917281,170.271659611238,47.386472153398444,0.0022740622552452176,194.48507162756047,0.002216862820443181,183.22051506361336
group_10_ET_1,81.90561941546908,211.8400285614529,0.012939178470534092,72.3767386736821,243.3385361832797,0.001505456732095953,520.1692943774987,0.001468363805897099,1244.0033208234495
group_10_ET_2,43.62991740537903,111.03086343534979,0.014941844208442462,25.538908935485942,609.7184132989837,0.0016516150343479676,161.58717327666386,0.0016022304234540226,781.3783688486725
group_10_ET_3,108.03163701226383,277.6336135363198,0.020083572828300617,829.7557817498375,386.34264009281526,0.002493605739773897,771.8432653614565,0.0024265194381909126,251.17767759075213
group_11_ET_1,2.7474389900813425,16.387447308411698,0.01439983815348052,223.58411260961387,710.2498501029511,0.0013529631653804108,938.8387322269082,0.0013090420299156713,1630.7316739004839
group_11_ET_2,2.9149965239677758,5.834409827236325,0.01467956072419338,16980.58085959521,14729.500793279007,0.0014401989710331599,33869.6731422769,0.0013936774925075866,1459.6802616801517
group_11_ET_3,10.110018795456531,68.1943002352948,0.02242410940652872,3656.0433809430865,249.05784444549712,0.00266720926983537,3174.7198655143175,0.0025881285382852903,1177.018005853868
group_12_ET_1,20.24374933332732,8.994398720334049,0.004734707686323942,140.8112153068224,576.4544811649309,0.0010388587073284542,329.63890863598215,0.0010084917203247484,1160.1727015874276
group_12_ET_2,10.796879638671745,4.807651737806671,0.005071816176205159,79.90449589843915,627.7462653490503,0.0010392673282213045,173.2629201842717,0.0010068288008713334,1262.5977148810666
group_12_ET_3,24.67007443773466,11.081234916210235,0.004250421195753873,149.86405568949945,564.6445234023151,0.0008022749886332662,317.8971121997612,0.0007764758768873929,1116.7994895447566
group_13_ET_1,298.99608699619233,225.13398718593572,0.04688128796826879,89.07649690128386,579.7625592927518,0.00598488058167769,38.39876834023564,0.005821261043204482,16.81853171317215
group_13_ET_2,126.88015051279109,95.52045002267923,0.019895535826966893,31.13141827391195,284.3376271161983,0.0025549739147806326,31.845897065873178,0.0024852227137503774,8.87819776642336
group_13_ET_3,105.22442125463678,79.21753356868001,0.016534764255629927,4.529126695811604,215.26541482740168,0.0021236402105498093,25.115785250952293,0.0020655203666906144,22.28750433960582
group_14_ET_1,71.00020484838485,122.89266995672916,0.014609794707007013,30.94601513111453,68.90174441389023,0.0020717923224224453,20.54784970593434,0.0020166772788859097,283.7783530129436
group_14_ET_2,66.43504679658929,114.9145144118702,0.013203467726303542,42.45246913952982,60.963214734186316,0.0018725065459243328,93.36988372405295,0.0018230872533158305,362.95405221255106
group_14_ET_3,69.12486555773246,119.743419469285,0.015249472353753242,100.43851269692111,130.31045023777733,0.0021344655850414306,119.80091835201141,0.0020764033075325247,83.20089642373068
group_15_ET_1,56.241209934980205,21.836919076754757,0.013734890245522772,38.64780864964939,200.68816471093294,0.0016581985913730168,44.79638523429728,0.0016116106054111633,189.82508653238474
group_15_ET_2,69.39909338503665,26.6963585823384,0.012927604649575195,33.151054660670866,46.387934865433685,0.0016637084799488856,27.56484654850761,0.0016197784051823125,351.66700095499885
group_15_ET_3,56.47864593301093,21.850216313336773,0.01230953539072225,39.85184225463134,112.82180140941283,0.0015363848015476434,98.55649438512162,0.0014941407385342892,15.521347237909064
group_16_ET_1,5798.97230858397,6265.983453689169,0.013051626987416565,4015.766237347722,11124.535180685703,0.001826474783576123,9842.303534496004,0.0017693381760873126,2099.5147612127357
group_16_ET_2,4228.929201809154,4569.238440700608,0.019497913201803937,5056.661265346293,7059.86412093628,0.002753747238585955,4827.890960315928,0.0026676147150693067,3132.2715961267786
group_16_ET_3,5068.888451744901,5476.722036112545,0.02562177233791326,14230.175974123267,18505.99039602542,0.00363543602471265,13864.197328513683,0.0035213942095597825,4128.771160155836
group_17_ET_1,55.668146585097695,38.3908767864798,0.019382209237680206,650.946712989677,1849.1142714045066,0.0036600301129825694,1482.2178850803118,0.003548254747872798,3511.9491700039825
group_17_ET_2,60.035586290536,41.823354641272815,0.006367861953993468,594.2354310335277,817.73583674167,0.0010603468394894452,1265.3177739826397,0.0010297855435557797,1787.0145592295935
group_17_ET_3,31.019588817232602,21.600563999089644,0.00811895501534053,5476.2107384952515,1342.612591163875,0.0015668467004178134,11869.29789192939,0.0015220152460200071,1890.2418425864912
group_18_ET_1,204.19675332952454,246.90253809433096,0.01807706638913226,211.32266358827067,775.9543370066194,0.00260983472679566,57.19091923892459,0.002534938979310626,684.4653705655084
group_18_ET_2,364.0633502045706,440.50344421599755,0.026104166030531662,517.3925402103433,691.4158931419095,0.003983415079234759,489.45185231299274,0.0038732455194602283,293.1886230118034
group_18_ET_3,308.47308814812624,373.39856791713635,0.019406366136165518,95.83531816697496,399.49682678754715,0.0030353657445675456,95.55216360780167,0.002954052293021833,291.1919414871817
group_19_ET_1,2.3096748825136206,2.4300982824609525,0.0025128366742302025,448.05340451221247,625.0043221263749,0.0007898796029267787,948.0594501335181,0.0007673681322608863,1251.7234636479864
group_19_ET_2,4.368249522519553,4.589852718507684,0.0022563922734168767,34.07312211296558,659.696242255668,0.0008089233769508552,71.71925573373557,0.0007863043039724734,1323.1303470166156
group_19_ET_3,3.337220270745773,3.403995597092404,0.008177591034483683,51.92390185416644,1260.874780913275,0.0018227000685474943,116.07247796698536,0.0017679807003041805,2533.4695330614604
group_20_ET_1,7.600229105691222,2.0160452711088275,0.00673056382797425,128.63400053891445,704.7335411309082,0.0011964188893936584,277.6690522448537,0.0011593772334094208,1415.0385111079988
