folder,kl_12,kl_13,kl_23
output_0,17.97265863083523,5.294557498951976,239.76005489148102
output_1,17.24753493324989,5.3585118394159466,240.5297693174004
output_2,18.104320241559673,5.278488138028731,239.57243984310745
output_3,17.37541794222054,5.3496417860300784,240.4065837910989
output_4,18.20816509542295,5.26567174752882,239.41249242698984
output_5,18.32911100038338,9.455148236161866,200.10410373507017
output_6,17.361517516049666,5.348578512647292,240.4174216587811
output_7,18.401478036572342,11.300063031484678,149.16241539680482
output_8,18.14597015977035,5.273541568200285,239.5074733348909
output_9,18.430181620341468,11.810844238654688,111.81039339973023
output_10,17.520157300700156,5.337538816435687,240.26426765501353
output_11,15.840219433580188,5.446128178295716,241.87707233007072
output_12,18.272363246584273,7.65092715928165,242.25244438499914
output_13,18.30738755414152,8.864939770870855,232.75843727729276
output_14,18.36035366597004,10.282327105418707,170.2369018537188
output_15,16.22675864430555,5.424687969991467,241.50734155338455
output_16,17.7941533999102,5.312576289588467,239.98804648198075
output_17,17.820947960387507,5.31045087261138,239.9611780871963
output_18,16.703464274203874,5.397443679257403,241.05507684551088
output_19,15.98218158434847,5.438253335726138,241.74104015174998
output_20,17.81597987338847,5.308454559773228,239.96335764333108
output_21,18.092004298929115,5.280480625276063,239.58852316945905
output_22,16.506100420593786,5.408392154572976,241.2415303382114
output_23,17.36014315850022,5.348459799446937,240.41832613611234
output_24,16.923089154953278,5.383975906073006,240.84662985674024
output_25,17.746502295108957,5.31783963925885,240.03883048788515
output_26,17.343738992189873,5.351875727877372,240.43648224925266
output_27,18.3392167466375,9.581261314906891,194.6341118754169
output_28,17.30490753398697,5.3530096632308535,240.47247758695607
output_29,18.39127143613992,11.161520835046291,151.3177091913733
output_30,18.40063322614319,11.210238002957349,150.67594017503203
output_31,17.602067138012153,5.3315582728903,240.18469099634137
output_32,18.35317645224657,10.061148626682938,176.7570783163894
output_33,17.47754311574047,5.3416843677555175,240.30713263246915
output_34,17.656435206827968,5.323833786508775,240.12784395989544
output_35,17.839238773457282,5.309289432099387,239.94304696291596
output_36,17.96938090855832,5.295124728400699,239.76494227026518
output_37,18.247118470171944,6.338482214771561,240.86049442891874
output_38,17.09866490634487,5.371186011665534,240.6768217352399
output_39,17.245574551638185,5.359518380243825,240.53260821834698
output_40,17.80784350230067,5.310827003352216,239.97365069832028
output_41,17.718446999793237,5.320864013531786,240.06730191685153
output_42,18.161267293642073,5.271291022597234,239.4868059298624
output_43,18.38940112380811,10.897257351589495,156.11512179457623
output_44,16.47611416043626,5.410122241660051,241.27028169317344
output_45,18.01448660219353,5.289756102764057,239.7000411206766
output_46,15.906850860407118,5.442266801059617,241.81288749841153
output_47,18.33870063620021,9.75268756598507,187.48563157265696
output_48,16.73084237703445,5.39575568680392,241.0293732058271
output_49,18.121195650568612,5.27732085207278,239.54795592828145
output_50,17.287990115478006,5.356210084414036,240.49073535737608
output_51,17.116691761942107,5.36860344049316,240.65789588902547
output_52,17.42351491635586,5.346229196323515,240.36036639485508
output_53,18.15064724694555,5.272791052894622,239.5014270495439
output_54,17.623807324591752,5.329275576608024,240.16252364712278
output_55,16.987116640062,5.379395818231959,240.7850662258703
output_56,17.577736933684605,5.332829262341114,240.20847135713677
output_57,17.707769671814415,5.320450889400506,240.07638323244626
output_58,17.331944900423462,5.352813558592199,240.44840582091484
output_59,16.846565602044738,5.388016636149757,240.9189856919228
output_60,18.350532596627215,9.967218291218577,179.8873801284784
output_61,17.26578122931263,5.3568668682952385,240.51190199336736
output_62,16.75076306699237,5.39474261528996,241.01024375911723
output_63,16.116809378962266,5.430799795616,241.61191588320355
output_64,17.721879966746954,5.317824340439147,240.0615538515389
output_65,16.094149792693507,5.431631548990085,241.63322626786177
output_66,18.04700063410005,5.285173533095838,239.65410062767646
output_67,17.157906179686005,5.366293102903983,240.61799561991296
output_68,17.972402994150215,5.294333327295327,239.75966022983158
output_69,17.536322642506256,5.33383276993829,240.24686110504334
output_70,17.85317660324429,5.305705964784735,239.9201048116301
output_71,18.276556796202666,7.7631532627495545,242.36557098112996
output_72,16.933433366423184,5.3831493421287355,240.8375934235703
output_73,17.339678350371265,5.349703145078191,240.43756238469524
output_74,17.426822106593406,5.343453105198552,240.35441839134978
output_75,17.287121978998957,5.354935372536355,240.4900290992336
output_76,17.875464275575993,5.304551207062435,239.89228889520376
output_77,17.829992893238956,5.309051252696667,239.95111619043087
output_78,17.280831726607353,5.355428535975372,240.4966111360967
output_79,17.875416346171686,5.3050188972635475,239.8932763917262
output_80,18.034802597259205,5.287231824685202,239.67213978234398
output_81,15.67436863755583,5.455036744467964,242.03637017104828
output_82,17.862260532132616,5.30409411754818,239.90672857432574
output_83,17.49587702994245,5.340539162821244,240.28975729487252
output_84,16.857219358009786,5.3876493850122635,240.90959810955152
output_85,16.431780979537788,5.412678805026195,241.3122362255909
output_86,18.133585746168563,5.275465838715435,239.52883380313432
output_87,17.808836615134297,5.3103634751037365,239.9719177663821
output_88,16.644020863973132,5.400435309579002,241.11122493681307
output_89,17.326216839970183,5.35304099157924,240.4534199550345
output_90,16.16760847899929,5.427983007343668,241.5639281236085
output_91,17.805614753906827,5.311890741544735,239.9765634251147
output_92,18.14256197889955,5.274672654123719,239.5167943184483
output_93,16.912802524700982,5.3845601137834365,240.8566765803261
output_94,17.83278943678592,5.309353809262248,239.94886241001288
output_95,17.68633110712072,5.320960144229417,240.09677668357625
output_96,17.320750642995936,5.353264506713002,240.45820083653217
output_97,18.33761185761334,9.626351689226436,192.65905274240106
output_98,18.02977065265238,5.286915413233974,239.6767186762535
output_99,17.314407626261968,5.35185440297982,240.4632240856274
output_100,17.424781151196562,5.344390273280247,240.35722240296357
output_101,17.851207445990664,5.307175125333897,239.92514579034187
output_102,17.885542689419943,5.302832566454034,239.87809303546936
output_103,16.058007350191613,5.433874848192968,241.66830840219376
output_104,18.180630688053913,5.270048862314157,239.45933293698286
output_105,17.248025351472865,5.357307154893453,240.52718808027686
output_106,17.3682712305666,5.348431728319378,240.41087152752604
output_107,18.27720152687029,7.710110198842628,242.30960767033554
output_108,18.28824517274981,8.336537660056766,242.94446027499538
output_109,18.345639215002706,9.88379966038905,182.76241497350867
output_110,16.913623738695314,5.384351935887397,240.85533144355225
output_111,16.942747073387547,5.381766789868923,240.82680026942882
output_112,17.282660376517676,5.354844212147613,240.4938181201195
output_113,17.450743303975454,5.342762000461152,240.3323413739212
output_114,17.7769412320977,5.3134665073903715,240.0048659274811
output_115,17.434430645981966,5.344984187547583,240.34850774124214
output_116,18.37245347930371,10.50740782264862,164.5277149626204
output_117,16.816196163541495,5.390788114446822,240.94812988252949
output_118,17.50326433802109,5.3397354771031775,240.28247502012294
output_119,18.167975711924313,5.271175581059461,239.47663233233035
output_120,17.65459058633574,5.3258105759540655,240.13114765718137
output_121,17.811259216535102,5.30901556601728,239.96840177491876
output_122,15.19443173746592,5.476944428330908,242.49726018056003
output_123,18.244846672685505,6.296626755815248,240.8168776119386
output_124,18.26241621381861,7.365415027835983,241.96150153406876
output_125,18.266278626585688,7.485043156854797,242.08386148826608
output_126,18.031950958819312,5.287107467729424,239.67702202698626
output_127,17.81079477468467,5.311695137908968,239.9719647516511
output_128,17.652103112600372,5.327151558928922,240.13447026025636
output_129,16.621483598245216,5.402213612915016,241.13267042256172
output_130,17.328013512905493,5.3529727909268505,240.45241324994413
output_131,17.672559452760925,5.322639090548657,240.11111695249636
output_132,15.570302452931966,5.460402096274207,242.1369778661077
output_133,15.9316251296252,5.44086380450743,241.78873418604024
output_134,18.28655212102156,8.217078618778519,242.82430862178194
output_135,17.72230042827091,5.31704824307014,240.0605405376147
output_136,17.760068000183015,5.316213156163355,240.02410688419906
output_137,18.061153570839647,5.283143763227509,239.63294055123845
output_138,17.545236101602764,5.334474417255688,240.2386729019163
output_139,18.330740462782273,9.393393268920068,202.88024439676872
output_140,15.508579583984357,5.463115705493324,242.19541994898265
output_141,17.485031692250143,5.339358790412357,240.2980073774072
output_142,17.85478264937629,5.306431404869485,239.92014027188674
output_143,17.447285602751762,5.342630958753123,240.33508209892594
output_144,16.19399661488873,5.426297848729508,241.53886951556046
output_145,16.484939413978758,5.409822984556625,241.26172127727074
output_146,17.786854747049844,5.3133597043009875,239.9960998712819
output_147,17.67921439253731,5.324276571811222,240.10709251242164
