group,kl_12,kl_13,kl_23
group_0,246.86572111943275,251.8403032538833,251.72685347172762
group_1,249.40142769321864,249.66151417261614,250.37011821068543
group_2,249.31864772691608,230.28118375938965,250.08220835924308
group_3,249.48111605883042,249.90429795882238,250.53159507759185
group_4,85.90778903036255,100.59755791637546,223.95188740149518
group_5,204.54359357051862,176.42534812517482,215.1976605281123
group_6,125.4772087392434,127.6256194510662,75.94035825418074
group_7,208.25249849899456,179.33770970731845,248.55358939288863
group_8,169.7715412660381,218.88122216687572,139.93111432826436
group_9,250.88475306852206,227.8759896876919,248.985330027534
group_10,249.87611033520736,250.38209173490173,153.35028578100412
group_11,249.98971189105657,250.2307431906129,250.36737321335715
group_12,129.67393733212694,98.94297371213,89.30124813941248
group_13,249.35875031601879,237.72657500816834,250.01256071625656
group_14,178.56750422850448,222.60252726944452,250.26957140765586
group_15,143.26596120350519,185.73029600502403,63.99680873480368
group_16,250.45797230360185,250.76811736471382,250.4191800024809
group_17,132.64999279034544,136.81978679178957,127.79431267102763
group_18,137.7835802334267,138.86606020954468,139.18647852822806
group_19,126.91666776925743,81.03420524038731,146.6967045425717
group_20,199.63272281539722,244.07072911410535,166.18489536074998
group_21,238.16897707056853,241.6165744734279,168.48351833436243
group_22,250.12016758333823,250.14118105525446,250.1504676002896
group_23,251.57307229493682,190.53967388761134,248.53911120465463
group_24,171.33870357017076,213.00778984654772,138.0697642243895
group_25,198.46876129579266,185.96834742306663,128.29299211966762
group_26,172.2627225954296,175.54544563350527,133.26256016324132
group_27,181.70933840365677,250.14211412480375,250.20048483050758
group_28,253.476519520308,250.20783633673176,246.83811410194204
group_29,250.3538076750008,250.23545034906095,249.99779258228406
group_30,215.77686286461648,170.8446886292657,130.17083860268647
group_31,196.22060669604872,162.8641101641369,206.42503076954748
group_32,42.257541052326644,16.43435017671932,33.859478799040005
group_33,250.48605591691376,252.46775907805676,252.36993037948673
group_34,23.565264331955575,31.45127797884991,95.82597668099493
group_35,130.6296273718724,131.2470042685398,249.9141375747248
group_36,94.41176179121094,128.67010484662575,147.46375995429042
